,Candidate_Ref,DOJ_Extended,Duration_to_accept_offer,Notice_Period,Offered_Band,Percent_hike_expected_in_CTC,Percent_hike_offered_in_CTC,Percent_difference_CTC,Joining_Bonus,Candidate_relocate_actual,Gender,Candidate_Source,Rex_in_Yrs,Location_ID,Postal_Code,Age,LOB_Id,Domicile_ID,Domicile_Name,Date_of_Interview,Status,LOB,Location,Region_ID,Region_Name
0,2110407,Yes,14,30,E2,20.79,13.16,-7.629999999999999,No,No,Female,Agency,7,L001,201301,34.0,1,D6,Goa,2013-01-08,Joined,ERS,Noida,R1,North
1,2605197,No,1,60,E1,40.35,31.58,-8.770000000000003,No,No,Female,Employee Referral,1,L001,201301,25.0,1,D6,Goa,2013-04-17,Joined,ERS,Noida,R1,North
2,2127782,No,17,30,E3,20.0,20.0,0.0,No,No,Male,Direct,10,L001,201301,36.0,1,D6,Goa,2014-05-20,Joined,ERS,Noida,R1,North
3,2138445,No,2,30,E1,132.45,42.86,-89.58999999999999,No,Yes,Male,Direct,4,L001,201301,30.0,1,D6,Goa,2014-06-29,Joined,ERS,Noida,R1,North
4,2150946,Yes,4,30,E1,22.22,23.33,1.1099999999999994,No,No,Male,Agency,2,L001,201301,26.0,1,D6,Goa,2014-04-11,Joined,ERS,Noida,R1,North
5,2226400,No,0,75,E1,53.33,53.33,0.0,No,Yes,Male,Direct,3,L001,201301,28.0,1,D6,Goa,2013-06-02,Joined,ERS,Noida,R1,North
6,2463974,No,0,60,E1,22.22,38.89,16.67,No,No,Male,Direct,3,L001,201301,26.0,1,D6,Goa,2014-02-11,Joined,ERS,Noida,R1,North
7,2820376,Yes,5,60,E1,33.33,27.78,-5.549999999999997,No,No,Female,Agency,3,L001,201301,25.0,1,D6,Goa,2013-05-31,Joined,ERS,Noida,R1,North
8,2851167,No,0,60,E2,33.33,48.89,15.560000000000002,Yes,No,Female,Agency,6,L001,201301,29.0,1,D6,Goa,2013-05-17,Joined,ERS,Noida,R1,North
9,3257017,No,2,30,E1,33.33,31.11,-2.219999999999999,No,No,Female,Agency,3,L001,201301,27.0,1,D6,Goa,2013-12-08,Joined,ERS,Noida,R1,North
10,3258205,Yes,5,60,E1,33.33,31.11,-2.219999999999999,No,No,Male,Agency,3,L001,201301,26.0,1,D6,Goa,2013-09-25,Not Joined,ERS,Noida,R1,North
11,3267512,No,21,30,E1,33.93,25.0,-8.93,No,No,Male,Direct,4,L001,201301,28.0,1,D6,Goa,2013-11-07,Not Joined,ERS,Noida,R1,North
12,3278979,No,63,60,E1,33.33,77.78,44.45,No,No,Male,Agency,4,L001,201301,30.0,1,D6,Goa,2013-12-18,Joined,ERS,Noida,R1,North
13,3443484,Yes,3,45,E2,26.67,18.0,-8.670000000000002,No,No,Male,Agency,5,L001,201301,34.0,1,D6,Goa,2013-02-12,Joined,ERS,Noida,R1,North
14,2146026,Yes,1,45,E1,18.18,12.73,-5.449999999999999,No,Yes,Male,Direct,4,L001,201301,31.0,1,D9,Himachal Pradesh,2014-07-11,Joined,ERS,Noida,R1,North
15,2207227,Yes,40,30,E1,33.33,11.11,-22.22,No,No,Female,Direct,3,L001,201301,26.0,1,D9,Himachal Pradesh,2013-02-24,Joined,ERS,Noida,R1,North
16,2214852,No,0,0,E3,15.87,10.08,-5.789999999999999,No,Yes,Male,Direct,10,L001,201301,35.0,1,D9,Himachal Pradesh,2013-04-02,Joined,ERS,Noida,R1,North
17,2247230,Yes,5,30,E1,25.0,25.0,0.0,No,No,Male,Agency,3,L001,201301,28.0,1,D9,Himachal Pradesh,2013-04-04,Joined,ERS,Noida,R1,North
18,2282880,Yes,3,30,E1,37.5,31.25,-6.25,No,Yes,Male,Employee Referral,3,L001,201301,27.0,1,D9,Himachal Pradesh,2013-05-25,Joined,ERS,Noida,R1,North
19,2457559,No,4,30,E1,22.22,13.33,-8.889999999999999,No,No,Male,Agency,2,L001,201301,26.0,1,D9,Himachal Pradesh,2014-01-24,Joined,ERS,Noida,R1,North
20,2569149,No,2,60,E1,22.22,16.67,-5.549999999999997,No,No,Female,Agency,3,L001,201301,26.0,1,D9,Himachal Pradesh,2013-11-29,Not Joined,ERS,Noida,R1,North
21,2590315,Yes,60,45,E2,22.22,77.78,55.56,No,No,Male,Agency,6,L001,201301,29.0,1,D9,Himachal Pradesh,2014-06-12,Not Joined,ERS,Noida,R1,North
22,2598439,Yes,98,60,E1,45.57,45.57,0.0,No,No,Male,Agency,4,L001,201301,28.0,1,D9,Himachal Pradesh,2014-07-01,Joined,ERS,Noida,R1,North
23,2798620,No,7,45,E1,22.22,13.33,-8.889999999999999,No,No,Male,Agency,2,L001,201301,28.0,1,D9,Himachal Pradesh,2013-04-10,Not Joined,ERS,Noida,R1,North
24,2820164,Yes,4,30,E1,33.33,16.67,-16.659999999999997,No,No,Male,Agency,2,L001,201301,26.0,1,D9,Himachal Pradesh,2013-05-28,Joined,ERS,Noida,R1,North
25,3050673,Yes,1,30,E1,33.33,33.33,0.0,No,No,Female,Employee Referral,3,L001,201301,26.0,1,D9,Himachal Pradesh,2013-07-31,Not Joined,ERS,Noida,R1,North
26,3239088,Yes,10,60,E1,33.33,31.11,-2.219999999999999,No,No,Female,Agency,3,L001,201301,26.0,1,D9,Himachal Pradesh,2013-09-20,Not Joined,ERS,Noida,R1,North
27,3537790,Yes,19,30,E2,5.26,2.63,-2.63,Yes,No,Female,Direct,7,L001,201301,34.0,1,D9,Himachal Pradesh,2013-05-17,Joined,ERS,Noida,R1,North
28,3582790,Yes,8,30,E1,41.18,38.82,-2.3599999999999994,No,No,Male,Direct,3,L001,201301,34.0,1,D9,Himachal Pradesh,2013-06-01,Joined,ERS,Noida,R1,North
29,3588826,Yes,16,30,E3,2.83,12.6,9.77,No,No,Male,Agency,11,L001,201301,34.0,1,D9,Himachal Pradesh,2013-03-19,Joined,ERS,Noida,R1,North
30,2197234,Yes,10,30,E1,33.33,37.78,4.450000000000003,No,No,Male,Agency,3,L001,201301,28.0,1,D10,Jharkhand,2013-01-26,Not Joined,ERS,Noida,R1,North
31,2200806,No,9,45,E2,33.91,36.79,2.8800000000000026,No,No,Male,Direct,7,L001,201301,30.0,1,D10,Jharkhand,2013-02-08,Joined,ERS,Noida,R1,North
32,2205424,Yes,1,60,E1,33.33,0.0,-33.33,No,Yes,Female,Employee Referral,3,L001,201301,26.0,1,D10,Jharkhand,2013-02-17,Joined,ERS,Noida,R1,North
33,2218750,Yes,2,30,E1,94.44,80.56,-13.879999999999995,No,Yes,Male,Direct,3,L001,201301,28.0,1,D10,Jharkhand,2013-04-25,Joined,ERS,Noida,R1,North
34,2282508,Yes,11,30,E1,22.22,33.33,11.11,No,No,Female,Employee Referral,5,L001,201301,30.0,1,D10,Jharkhand,2013-05-21,Joined,ERS,Noida,R1,North
35,2282585,No,0,0,E1,20.97,20.97,0.0,No,Yes,Male,Employee Referral,3,L001,201301,26.0,1,D10,Jharkhand,2013-05-22,Joined,ERS,Noida,R1,North
36,2286850,Yes,1,30,E1,56.86,56.86,0.0,No,Yes,Female,Direct,5,L001,201301,30.0,1,D10,Jharkhand,2013-07-13,Joined,ERS,Noida,R1,North
37,2360696,Yes,13,30,E1,1.21,1.21,0.0,No,No,Male,Direct,2,L001,201301,23.0,1,D10,Jharkhand,2013-09-24,Joined,ERS,Noida,R1,North
38,2851191,Yes,2,60,E1,33.33,13.33,-20.0,No,No,Female,Agency,3,L001,201301,27.0,1,D10,Jharkhand,2013-05-17,Not Joined,ERS,Noida,R1,North
39,3035075,No,6,60,E2,33.33,137.78,104.45,No,No,Male,Employee Referral,8,L001,201301,33.0,1,D10,Jharkhand,2013-08-24,Joined,ERS,Noida,R1,North
40,3245878,No,34,30,E1,55.56,33.33,-22.230000000000004,No,No,Male,Direct,5,L001,201301,26.0,1,D10,Jharkhand,2013-09-29,Joined,ERS,Noida,R1,North
41,3334214,Yes,18,45,E1,40.0,20.0,-20.0,No,Yes,Male,Agency,3,L001,201301,34.0,1,D10,Jharkhand,2014-02-17,Joined,ERS,Noida,R1,North
42,3355762,Yes,30,60,E2,94.41,62.01,-32.4,Yes,No,Male,Agency,6,L001,201301,34.0,1,D10,Jharkhand,2013-05-23,Joined,ERS,Noida,R1,North
43,3538488,No,28,60,E3,23.08,23.08,0.0,No,No,Male,Employee Referral,10,L001,201301,32.0,1,D3,Chandigarh,2014-01-15,Joined,ERS,Noida,R1,North
44,2182197,Yes,18,0,E1,75.0,62.5,-12.5,No,No,Female,Employee Referral,4,L001,201301,27.0,1,D3,Chandigarh,2013-02-08,Joined,ERS,Noida,R1,North
45,2192448,Yes,12,0,E1,45.0,45.0,0.0,No,No,Female,Direct,5,L001,201301,27.0,1,D3,Chandigarh,2013-01-05,Joined,ERS,Noida,R1,North
46,2323426,Yes,7,90,E1,9.09,4.55,-4.54,No,No,Male,Agency,3,L001,201301,31.0,1,D3,Chandigarh,2013-08-30,Joined,ERS,Noida,R1,North
47,2411541,No,0,30,E1,59.09,77.27,18.18,No,No,Male,Direct,2,L001,201301,24.0,1,D3,Chandigarh,2013-09-22,Joined,ERS,Noida,R1,North
48,2416751,No,2,0,E1,69.64,60.71,-8.93,No,No,Male,Employee Referral,4,L001,201301,28.0,1,D3,Chandigarh,2013-10-01,Joined,ERS,Noida,R1,North
49,2483082,No,25,60,E1,28.57,28.57,0.0,No,No,Male,Direct,3,L001,201301,31.0,1,D3,Chandigarh,2014-01-25,Not Joined,ERS,Noida,R1,North
50,2483367,Yes,11,60,E1,33.93,17.19,-16.74,No,No,Male,Direct,3,L001,201301,29.0,1,D3,Chandigarh,2014-01-30,Joined,ERS,Noida,R1,North
51,2544315,No,38,30,E1,33.33,130.0,96.67,No,Yes,Male,Direct,3,L001,201301,28.0,1,D3,Chandigarh,2013-11-21,Joined,ERS,Noida,R1,North
52,2564860,No,63,60,E2,18.18,163.64,145.45999999999998,No,No,Male,Agency,7,L001,201301,32.0,1,D3,Chandigarh,2013-09-26,Joined,ERS,Noida,R1,North
53,2597654,Yes,77,60,E1,22.22,46.67,24.450000000000003,No,No,Male,Agency,3,L001,201301,32.0,1,D3,Chandigarh,2014-05-30,Joined,ERS,Noida,R1,North
54,2604190,Yes,4,60,E1,18.18,13.64,-4.539999999999999,No,No,Male,Agency,5,L001,201301,30.0,1,D3,Chandigarh,2013-01-03,Joined,ERS,Noida,R1,North
55,2618247,No,5,60,E1,20.0,20.0,0.0,No,No,Male,Agency,4,L001,201301,33.0,1,D3,Chandigarh,2013-01-15,Joined,ERS,Noida,R1,North
56,3204249,Yes,3,0,E1,58.33,56.25,-2.0799999999999983,No,No,Male,Employee Referral,3,L001,201301,26.0,1,D3,Chandigarh,2013-09-15,Joined,ERS,Noida,R1,North
57,3218293,Yes,21,60,E1,33.33,6.67,-26.66,No,No,Male,Agency,2,L001,201301,23.0,1,D3,Chandigarh,2013-10-16,Joined,ERS,Noida,R1,North
